brand,subseries,모델,제품 시리즈,상태,센서 유형,크로마,스펙트럼,스펙트럼 범위,해상도,센서 모델,센서 아키텍처 (소재),셔터 유형,센서 크기,픽셀 크기,센서 비트 심도,모노크롬 픽셀 형식,최대 프레임 속도,비절연 라인,광절연 라인,전원 공급 장치,전력 소비,작동 온도 (하우징),본체 치수 (L x W x H mm),렌즈 마운트,무게,이미지 버퍼 (RAM),비휘발성 메모리 (플래시),디지털 인터페이스,YUV 픽셀 형식,RGB 픽셀 형식,베이어 픽셀 형식,양자 효율 @ 529 nm,비전 표준,양자 효율 @ 850 nm,노출 시간,게인,I/O 커넥터,특정 비절연 라인,제품 코드,필터/보호 유리,IP 등급,인터페이스 커넥터,노출 모드,게인 모드,이미지 제어 기능,트리거 모드/동기화,카메라 제어 기능,화이트 밸런스 모드,다이나믹 레인지,SNR,최대 프레임 속도 (버스트),최대 프레임 속도 ROI 모드,데이터 형식,최대 라인 속도 (트리리니어),최대 라인 속도 (단일 라인),최대 라인 속도 (쿼드리니어),사용자 데이터 메모리
Allied Vision,alvium-g1,Alvium G1-2040,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,512 × 4,512 (20.40 MP)",Sony IMX541,CMOS,Global Shutter,17.6 mm ø (Type 1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",5 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.8 W at 12 VDC (typical) | Power over Ethernet: 4.2 (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-2050,Alvium G1,Available,Area scan,Mono or Color,,300 nm to 1100 nm,"5,496 × 3,672 (20.20 MP)",Sony IMX183,,"Global Reset Shutter, Rolling Shutter",16.3 mm ø (Type 1),2.40 µm × 2.40 µm,,,5 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.6 W at 12 VDC (typical) | Power over Ethernet: 3.9 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","BGR8, RGB8 (default)",BayerRG12,80 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-234,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,936 × 1,216 (2.40 MP)",Sony IMX249,CMOS,Global Shutter,13.4 mm ø (Type 1/1.2),5.86 µm × 5.86 µm,"10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",40 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.0 W at 12 VDC (typical) | Power over Ethernet: 3.3 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-240,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,936 × 1,216 (2.40 MP)",Sony IMX392,CMOS,Global Shutter,7.9 mm ø (Type 1/2.3),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",50 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.6 W at 12 VDC (typical) | Power over Ethernet: 4.0 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-2460,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"5,328 × 4,608 (24.60 MP)",Sony IMX540,CMOS,Global Shutter,21.43 mm ø (Type 1.2),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",4 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 4.0 W at 12 VDC (typical) | Power over Ethernet: 4.4 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-319,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,064 × 1,544 (3.20 MP)",Sony IMX265,CMOS,Global Shutter,9 mm ø (Type 1/1.8),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",37 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.0 W at 12 VDC (typical) | Power over Ethernet: 3.3 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-500,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,592 × 1,944 (5.00 MP)",ON Semi AR0521SR,CMOS,Rolling Shutter,7.13 mm ø (Type 1/2.5),2.20 µm × 2.20 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",23 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 2.9 W at 12 VDC (typical) | Power over Ethernet: 3.2 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerGR8, BayerGR10, BayerGR10p, BayerGR12, BayerGR12p, BayerGR12Packed",79 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-507,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX264,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",23 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.1 W at 12 VDC (typical) | Power over Ethernet: 3.4 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-507 Pol,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,056 (5.10 MP)",Sony IMX264 Polarizer,CMOS,Global Shutter,12.75 mm ø (Type 2/3),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",23 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.1 W at 12 VDC (typical) | Power over Ethernet: 3.4 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)",,,"BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-510,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,464 × 2,064 (5.10 MP)",Sony IMX548,CMOS,Global Shutter,9 mm ø (Type 1/1.8),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",23 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.2 W at 12 VDC (typical) | Power over Ethernet: 3.6 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-811,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"2,848 × 2,848 (8.10 MP)",Sony IMX546,CMOS,Global Shutter,12.75 mm ø (Type 2/3),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",14 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.7 W at 12 VDC (typical) | Power over Ethernet: 4.0 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-812 UV,Alvium G1,Available,Area scan,Mono,UV,200 nm to 1000 nm,"2,848 × 2,848 (8.10 MP)",Sony IMX487,CMOS,Global Shutter,12.75 mm ø (Type 2/3),2.74 µm × 2.74 µm,12-bit,"Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",14 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 4.0 W at 12 VDC (typical) | Power over Ethernet: 4.6 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-895,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,112 × 2,176 (8.90 MP)",Sony IMX267,CMOS,Global Shutter,16.3 mm ø (Type 1),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",13 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.5 W at 12 VDC (typical) | Power over Ethernet: 3.9 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g5,Alvium G5-052,Alvium G5,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,816 × 624 (0.50 MP),Sony IMX426,CMOS,Global Shutter,9.33 mm ø (Type 1/1.7),9.00 µm × 9.00 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",688 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 6.6 W at 12 VDC (typical) | Power over Ethernet: 7.2 W (typical),-20 °C to 60 °C housing temperature,60 × 29 × 29,"C-Mount, CS-Mount",100 g,512 MByte,1024 KByte,"IEEE 802.3: 5GBASE-T or 2.5GBASE-T (NBASE-T) and 1000BASE-T, IEEE 802.3af Power Class 0 PoE","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",73 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g5,Alvium G5-1240,Alvium G5,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,024 × 3,036 (12.20 MP)",Sony IMX226,CMOS,"Global Reset Shutter, Rolling Shutter",9.33 mm ø (Type 1/1.7),1.85 µm × 1.85 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",42 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 6.1 W at 12 VDC (typical) | Power over Ethernet: 6.8 W (typical),-20 °C to 60 °C housing temperature,60 × 29 × 29,"C-Mount, CS-Mount",100 g,512 MByte,1024 KByte,"IEEE 802.3: 5GBASE-T or 2.5GBASE-T (NBASE-T) and 1000BASE-T, IEEE 802.3af Power Class 0 PoE","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",74 %,,,,,,,,,,,,,,,,,,,,,,,,,
