brand,model_name,slug,제조 업체,주문 번호,카메라 카테고리,카메라 시리즈,보증 (Warranty),센서 공급업체,센서,셔터,센서 타입,해상도 (HxV),픽셀 사이즈 HxV,라인 속도,모노크롬/컬러,빛스펙트럼,인터페이스,픽셀 비트 깊이,동기화,카메라 I/O 커넥터,전원 공급,하우징 종류,보호 등급,하우징 ‍사이즈 (L x W x H),무게 (Weight),렌즈 마운트,작동 온도,Basler,Conformity,제품군,제품 라인,센서 포맷,센서 대각선 길이,센서 크기,프레임 속도,카메라 데이터 커넥터,이미지 데이터 인터페이스,노출 제어,디지털 입력,범용 I/O,전원 요구사항 (일반적),측정된,양자 효율 (일반/최소),다크 노이즈 (일반/최대),포화 용량 (일반/최소),"다이나믹 레인지 (Dinamic Range, 일반/최소)",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),기준,FOV (Field of View),심도(Depth) 이미지 해상도 및 FPS,측정 방식,"에고 모션(Ego-motion, IMU)",작업 범위,운영 체제,양산,소모 전력 PoE,해상도,디지털 출력,작동 중 주변 온도,Compression Beyond 사용시 프레임 속도,비디오 출력 유형,Camera Link ‍Clock,파장 (Wavelength),스트리밍 형식,정확도( Accuracy),템포럴 노이즈,지연 (Latency),조명 (Illumination),햇빛에서의 내구성,데이터 커넥터,전원 공급 장치,구성 요소,표준,프로그래밍 언어,타사 지원,마운팅 포인트,하우징 대체품,‍이미지 처리,양자 효율 - 녹색 (일반/최소),양자 효율 - 파란색 (일반/최소),양자 효율 - 빨간색 (일반/최소),납품 범위,심도(Depth) 해상도,작업 공간,초점 거리,프로세서 제조업체,수평 해상도(X축),높이 해상도 (Z축),배율,광원,이격 거리 (Clearance Distance),Heliotis,반복정밀도 (Z축),레이저 등급,Z축 선형성(+/- % of MR),스캔 속도,데이터포인트/프로파일,측정 거리,LMI,JAI
Basler,JAIJAI Camera GOX-2402C-PGE,jai-camera-gox-2402c-pge,JAI,1207,에어리어 스캔 카메라,JAI Go-X,,Sony,IMX392,Global Shutter,CMOS,1920 px × 1200 px,3.45 μm × 3.45 μm,,Color,Visible,GigE,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,10V to 25V DC,Box,,29 mm x 29 mm x 51.5 mm,62 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1/2.3""",,6.62 mm × 4.14 mm,49 fps,,"Fast Ethernet (100 Mbit/s), Gigabit Ethernet (1000 Mbit/s)",hardware trigger / programmable via the camera API,,,2.7 W,,,,,,,,,,,,,,,,2.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera SP-5000M-USB,jai-camera-sp-5000m-usb,JAI,1053,에어리어 스캔 카메라,JAI Spark,,e2v,Lince5M,Global Shutter,CMOS,2560 px × 2048 px,5 μm × 5 μm,,Mono,Visible,USB 3.0,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,62 mm x 62 mm x 56 mm,255 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",,12.8 mm × 10.24 mm,62 fps,,"USB 3.0, nominal max. 5 Gbit/s (SuperSpeed)",hardware trigger / programmable via the camera API,,,6.24 W,,,,,,,,,,,,,,,,5.2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GOX-3200C-USB,jai-camera-gox-3200c-usb,JAI,1205,에어리어 스캔 카메라,JAI Go-X,,Sony,IMX252,Global Shutter,CMOS,2048 px × 1536 px,3.45 μm × 3.45 μm,,Mono,Visible,USB 3.0,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,10V to 25V DC,Box,,29 mm x 29 mm x 51.5 mm,62 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1/1.8""",8.84 mm,7.12 mm × 5.33 mm,119 fps,,"USB 3.0, nominal max. 5 Gbit/s (SuperSpeed)",hardware trigger / programmable via the camera API,,,4.2 W,,,,,,,,,,,,,,,,3.1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GO-5000M-PMCL,jai-camera-go-5000m-pmcl,JAI,1018,에어리어 스캔 카메라,JAI Go,,e2v,Lince5M,Global Shutter,CMOS,2560 px × 2048 px,5 μm × 5 μm,,Mono,Visible,Camera Link,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,29 mm x 29 mm x 42 mm,46 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",,12.8 mm × 10.24 mm,107 fps,,,hardware trigger / programmable via the camera API,,,3 W,,,,,,,,,,,,,,,,5.2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GO-5000M-PGE,jai-camera-go-5000m-pge,JAI,1017,에어리어 스캔 카메라,JAI Go,,e2v,Lince5M,Global Shutter,CMOS,2560 px × 2048 px,5 μm × 5 μm,,Mono,Visible,GigE,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,29 mm x 29 mm x 42 mm,46 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",,12.8 mm × 10.24 mm,22 fps,,"Fast Ethernet (100 Mbit/s), Gigabit Ethernet (1000 Mbit/s)",hardware trigger / programmable via the camera API,,,2.5 W,,,,,,,,,,,,,,,,5.2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera SP-5000C-GE2,jai-camera-sp-5000c-ge2,JAI,1046,에어리어 스캔 카메라,JAI Spark,,e2v,Lince5M,Global Shutter,CMOS,2560 px × 2048 px,5 μm × 5 μm,,Color,Visible,GigE,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,62 mm x 62 mm x 56 mm,215 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",,12.8 mm × 10.24 mm,44 fps,,"Fast Ethernet (100 Mbit/s), Gigabit Ethernet (1000 Mbit/s)",hardware trigger / programmable via the camera API,,,6.25 W,,,,,,,,,,,,,,,,5.2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera SP-5000M-PMCL,jai-camera-sp-5000m-pmcl,JAI,1052,에어리어 스캔 카메라,JAI Spark,,e2v,Lince5M,Global Shutter,CMOS,2560 px × 2048 px,5 μm × 5 μm,,Mono,Visible,Camera Link,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,62 mm x 62 mm x 56 mm,215 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",,12.8 mm × 10.24 mm,137 fps,,,hardware trigger / programmable via the camera API,,,4.5 W,,,,,,,,,,,,,,,,5.2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera AP-1600T-USB,jai-camera-ap-1600t-usb,JAI,1003,에어리어 스캔 카메라,JAI Apex,,Sony,3-CMOS IMX273,Global Shutter,CMOS,1456 px × 1088 px,3.45 μm × 3.45 μm,,Color,Visible,USB 3.0,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,44 mm x 44 mm x 84 mm,200 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1/2.9""",,5.02 mm × 7.75 mm,79 fps,,"USB 3.0, nominal max. 5 Gbit/s (SuperSpeed)",hardware trigger / programmable via the camera API,,,5.3 W,,,,,,,,,,,,,,,,1.6 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GO-5100M-USB,jai-camera-go-5100m-usb,JAI,1023,에어리어 스캔 카메라,JAI Go,,Sony,IMX250,Global Shutter,CMOS,2448 px × 2048 px,3.45 μm × 3.45 μm,,Mono,Visible,USB 3.0,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,12V to 24V DC,Box,,29 mm x 29 mm x 42 mm,46 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"2/3""",11.02 mm,8.45 mm × 7.07 mm,98 fps,,"USB 3.0, nominal max. 5 Gbit/s (SuperSpeed)",hardware trigger / programmable via the camera API,,,4.2 W,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GOX-20409M-PGE,jai-camera-gox-20409m-pge,JAI,1180,에어리어 스캔 카메라,JAI Go-X,,Sony,IMX183,Rolling Shutter,CMOS,5472 px × 3648 px,2.4 μm × 2.4 μm,,Mono,Visible,GigE,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,10V to 25V DC,Box,,29 mm x 29 mm x 51.5 mm,46 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",15.78 mm,13.13 mm × 8.75 mm,5 fps,,"Fast Ethernet (100 Mbit/s), Gigabit Ethernet (1000 Mbit/s)",hardware trigger / programmable via the camera API,,,2.7 W,,,,,,,,,,,,,,,,20 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,JAIJAI Camera GOX-8901M-PGE,jai-camera-gox-8901m-pge,JAI,1188,에어리어 스캔 카메라,JAI Go-X,,Sony,IMX267,Global Shutter,CMOS,4096 px × 2160 px,3.45 μm × 3.45 μm,,Mono,Visible,GigE,8 bits / 10 bits / 12 bits,free-run / hardware trigger / software trigger,,10V to 25V DC,Box,,29 mm x 29 mm x 51.5 mm,62 g,C-mount,,,"CE (incl. RoHS), FCC, RoHS",,,"1""",15.97 mm,14.13 mm × 7.45 mm,12 fps,,"Fast Ethernet (100 Mbit/s), Gigabit Ethernet (1000 Mbit/s)",hardware trigger / programmable via the camera API,,,3.3 W,,,,,,,,,,,,,,,,8.8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
